0.001, 0.001, 0.000, 1.0, 1.0, 1e+06, 0.114, 0.011, 4.9788e+02, 4.9788e+02, 2.9765e+24, 1.0000, 1.194e+19, 4.031e+18, 0
0.001, 0.001, 0.000, 3.0, 3.0, 1e+06, 0.114, 0.011, 4.4809e+03, 4.4809e+03, 2.6789e+25, 0.9995, 3.207e+21, 5.922e+18, 560.9
0.001, 0.001, 0.000, 5.0, 5.0, 1e+06, 0.114, 0.011, 1.2447e+04, 1.2447e+04, 7.4413e+25, 0.9982, 1.126e+22, 1.323e+20, 1.868e+04
0.001, 0.001, 0.000, 7.5, 7.5, 1e+06, 0.114, 0.011, 2.8006e+04, 2.8006e+04, 1.6743e+26, 0.9958, 2.553e+22, 6.088e+20, 1.015e+05
0.001, 0.001, 0.000, 8.0, 8.0, 1e+06, 0.114, 0.011, 3.1864e+04, 3.1864e+04, 1.9050e+26, 0.9953, 2.868e+22, 7.137e+20, 1.311e+05
0.001, 0.001, 0.000, 10.0, 10.0, 1e+06, 0.114, 0.011, 4.9788e+04, 4.9788e+04, 2.9765e+26, 0.9926, 4.527e+22, 1.342e+21, 1.413e+12
0.001, 0.001, 0.000, 12.0, 12.0, 1e+06, 0.114, 0.011, 7.1695e+04, 7.1695e+04, 4.2862e+26, 0.9894, 6.478e+22, 2.446e+21, 1.149e+11
0.001, 0.001, 0.000, 15.0, 15.0, 1e+06, 0.114, 0.011, 1.1202e+05, 1.1202e+05, 6.6971e+26, 0.9827, 1.06e+23, 5.612e+21, 2.083e+18
0.001, 0.001, 0.260, 1.0, 1.0, 1e+06, 0.114, 0.011, 4.9788e+02, 4.9788e+02, 2.9765e+24, 1.0000, 5.972e+18, 2.597e+18, 512
0.001, 0.001, 0.260, 3.0, 3.0, 1e+06, 0.114, 0.011, 4.4809e+03, 4.4809e+03, 2.6789e+25, 0.9994, 3.523e+21, 1.481e+19, 0
0.001, 0.001, 0.260, 5.0, 5.0, 1e+06, 0.114, 0.011, 1.2447e+04, 1.2447e+04, 7.4413e+25, 0.9981, 1.185e+22, 1.726e+20, 1.795e+04
0.001, 0.001, 0.260, 7.5, 7.5, 1e+06, 0.114, 0.011, 2.8006e+04, 2.8006e+04, 1.6743e+26, 0.9957, 2.612e+22, 6.648e+20, 8.096e+16
0.001, 0.001, 0.260, 8.0, 8.0, 1e+06, 0.114, 0.011, 3.1864e+04, 3.1864e+04, 1.9050e+26, 0.9952, 2.92e+22, 7.737e+20, 7.179e+04
0.001, 0.001, 0.260, 10.0, 10.0, 1e+06, 0.114, 0.011, 4.9788e+04, 4.9788e+04, 2.9765e+26, 0.9926, 4.558e+22, 1.451e+21, 6.965e+11
0.001, 0.001, 0.500, 3.0, 3.0, 1e+06, 0.114, 0.011, 4.4809e+03, 4.4809e+03, 2.6789e+25, 0.9992, 4.784e+21, 2.695e+19, 0
0.001, 0.001, 0.500, 5.0, 5.0, 1e+06, 0.114, 0.011, 1.2447e+04, 1.2447e+04, 7.4413e+25, 0.9979, 1.292e+22, 1.928e+20, 2.742e+04
0.001, 0.001, 0.500, 7.5, 7.5, 1e+06, 0.114, 0.011, 2.8006e+04, 2.8006e+04, 1.6743e+26, 0.9954, 2.824e+22, 6.983e+20, 7.712e+15
0.001, 0.001, 0.500, 8.0, 8.0, 1e+06, 0.114, 0.011, 3.1864e+04, 3.1864e+04, 1.9050e+26, 0.9948, 3.205e+22, 8.167e+20, 5.085e+17
0.001, 0.001, 0.500, 10.0, 10.0, 1e+06, 0.114, 0.011, 4.9788e+04, 4.9788e+04, 2.9765e+26, 0.9921, 4.865e+22, 1.453e+21, 2.031e+05
0.001, 0.001, 0.500, 12.0, 12.0, 1e+06, 0.114, 0.011, 7.1695e+04, 7.1695e+04, 4.2862e+26, 0.9889, 6.807e+22, 2.503e+21, 1.932e+11
0.001, 0.001, 0.500, 15.0, 15.0, 1e+06, 0.114, 0.011, 1.1202e+05, 1.1202e+05, 6.6971e+26, 0.9818, 1.112e+23, 5.451e+21, 1.218e+19
0.001, 0.001, 0.707, 3.0, 3.0, 1e+06, 0.114, 0.011, 4.4809e+03, 4.4809e+03, 2.6789e+25, 0.9989, 6.509e+21, 2.27e+19, 4096
0.001, 0.001, 0.707, 5.0, 5.0, 1e+06, 0.114, 0.011, 1.2447e+04, 1.2447e+04, 7.4413e+25, 0.9975, 1.549e+22, 1.995e+20, 1.036e+04
